iSTD Name,ng iSTD extracted
1_PG 17:0/14:1-d5 iSTD [M+H]+,50
1_PG 17:0/14:1-d5 iSTD [M+Na]+,50
1_PG 17:0/14:1-d5 iSTD [M+NH4]+,50
1_PG 17:0/16:1-d5 iSTD [M+H]+,100
1_PG 17:0/16:1-d5 iSTD [M+Na]+,100
1_PG 17:0/16:1-d5 iSTD [M+NH4]+,100
1_PG 17:0/18:1-d5 iSTD [M+H]+,150
1_PG 17:0/18:1-d5 iSTD [M+Na]+,150
1_PG 17:0/18:1-d5 iSTD [M+NH4]+,150
1_PG 17:0/20:3-d5 iSTD [M+H]+,100
1_PG 17:0/20:3-d5 iSTD [M+Na]+,100
1_PG 17:0/20:3-d5 iSTD [M+NH4]+,100
1_PG 17:0/22:4-d5 iSTD [M+H]+,50
1_PG 17:0/22:4-d5 iSTD [M+Na]+,50
1_PG 17:0/22:4-d5 iSTD [M+NH4]+,50
1_PI 17:0/14:1-d5 iSTD [M+H]+,50
1_PI 17:0/14:1-d5 iSTD [M+Na]+,50
1_PI 17:0/14:1-d5 iSTD [M+NH4]+,50
1_PI 17:0/16:1-d5 iSTD [M+H]+,100
1_PI 17:0/16:1-d5 iSTD [M+Na]+,100
1_PI 17:0/16:1-d5 iSTD [M+NH4]+,100
1_PI 17:0/18:1-d5 iSTD [M+H]+,150
1_PI 17:0/18:1-d5 iSTD [M+Na]+,150
1_PI 17:0/18:1-d5 iSTD [M+NH4]+,150
1_PI 17:0/20:3-d5 iSTD [M+H]+,100
1_PI 17:0/20:3-d5 iSTD [M+Na]+,100
1_PI 17:0/20:3-d5 iSTD [M+NH4]+,100
1_PI 17:0/22:4-d5 iSTD [M+H]+,50
1_PI 17:0/22:4-d5 iSTD [M+Na]+,50
1_PI 17:0/22:4-d5 iSTD [M+NH4]+,50
1_PS 17:0/14:1-d5 iSTD [M+H]+,50
1_PS 17:0/14:1-d5 iSTD [M+Na]+,50
1_PS 17:0/16:1-d5 iSTD [M+H]+,100
1_PS 17:0/16:1-d5 iSTD [M+Na]+,100
1_PS 17:0/18:1-d5 iSTD [M+H]+,150
1_PS 17:0/18:1-d5 iSTD [M+Na]+,150
1_PS 17:0/20:3-d5 iSTD [M+H]+,100
1_PS 17:0/20:3-d5 iSTD [M+Na]+,100
1_PS 17:0/22:4-d5 iSTD [M+H]+,50
1_PS 17:0/22:4-d5 iSTD [M+Na]+,50
1_SM 16:1 d18:1/16:1-d9 iSTD [M+H]+,150
1_SM 16:1 d18:1/16:1-d9 iSTD [M+Na]+,150
1_SM 18:1 d18:1/18:1-d9 iSTD [M+H]+,100
1_SM 18:1 d18:1/18:1-d9 iSTD [M+Na]+,100
